property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,built_up_area,study room,servant room,store room,pooja room,others,age_category,furnishing_type,luxury_score,combined_rating,coordinates,latitude,longitude
house,independent,sector 43,8.5,31481.0,5,5,3,3.0,West,2700.0,0,1,0,0,0,Moderately Old,Furnished,67,5.0,"28.4629° N, 77.0772° E",28.4629, 77.0772
house,independent,sector 45,8.5,26235.0,5,4,2,1.0,North-East,3240.0,0,1,0,1,0,Moderately Old,Furnished,28,4.5,"28.4466° N, 77.0660° E",28.4466, 77.0660
house,unitech nirvana birch court,sector 50,11.95,36883.0,3,3,2,1.0,West,3240.0,1,1,0,0,0,Moderately Old,Unfurnished,64,5.0,"28.4178° N, 77.0628° E",28.4178, 77.0628
house,unitech aspen greens,sector 50,12.0,37037.0,3,4,2,1.0,East,3240.0,1,1,0,0,0,Moderately Old,Furnished,63,5.0,"28.4178° N, 77.0628° E",28.4178, 77.0628
house,bptp astaire gardens,sector 70,6.5,27873.0,4,4,3+,2.0,North-East,2332.0,1,1,0,1,0,New Property,Furnished,96,4.25,"28.3968° N, 77.0233° E",28.3968, 77.0233
house,dlf alameda,sector 73,17.0,35109.0,5,8,3,3.0,North-West,9000.0,1,1,1,1,0,Relatively New,Semi-Furnished,50,4.3,"28.4072° N, 77.0118° E",28.4072, 77.0118
house,ansal sushant lok plots,sector 43,11.5,17692.0,7,8,3+,3.0,North-East,9000.0,0,1,1,1,0,Old Property,Furnished,21,4.88,"28.4629° N, 77.0772° E",28.4629, 77.0772
house,independent,sector 26,15.0,33333.0,4,4,3,3.0,East,4500.0,0,1,1,0,0,Moderately Old,Furnished,22,5.0,"28.4757° N, 77.1032° E",28.4757, 77.1032
house,vipul tatvam villa,sector 48,8.2,25309.0,3,3,2,2.0,North,3240.0,1,1,0,1,0,Moderately Old,Semi-Furnished,96,4.25,"28.4177° N, 77.0359° E",28.4177, 77.0359
house,sector 14 rwa,sector 14,5.51,16990.0,3,3,2,4.0,South-West,3243.0,0,0,0,0,0,Moderately Old,Unfurnished,11,4.5,"28.4711° N, 77.0454° E",28.4711, 77.0454
house,independent,sector 4,3.2,14222.0,3,3,2,2.0,East,2250.0,0,0,0,0,0,Old Property,Unfurnished,4,5.0,"28.4738° N, 77.0107° E",28.4738, 77.0107
