property_type,society,sector,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,built_up_area,study room,servant room,store room,pooja room,others,age_category,furnishing_type,luxury_score,combined_rating
flat,ild greens,sector 37,0.75,5245.0,Built Up area: 1430 (132.85 sq.m.),2,2,3+,13.0,East,1430.0,0,0,0,0,0,Relatively New,Unfurnished,26,4.7
flat,umang winter hills,sector 77,1.4,6341.0,Built Up area: 1735 (161.19 sq.m.),3,3,3,10.0,North-East,1735.0,0,0,0,0,0,Relatively New,Unfurnished,14,4.6
flat,unitech sunbreeze,sector 69,1.0,5476.0,Built Up area: 1826 (169.64 sq.m.),4,3,0,0.0,North-East,1826.0,0,0,0,0,0,Relatively New,Unfurnished,0,4.0
flat,shree vardhman victoria,sector 70,1.8,9231.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,4,3,2.0,South-West,1527.0,0,1,0,0,1,New Property,Unfurnished,22,4.5
flat,godrej nature plus,sector 33,1.2,12000.0,Carpet area: 1000 (92.9 sq.m.),2,2,3+,3.0,North-East,1111.0,0,0,0,0,0,Relatively New,Unfurnished,71,4.1
flat,indiabulls centrum park,sector 103,1.05,5859.0,Built Up area: 1365 (126.81 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,3,1.0,West,1365.0,0,0,0,0,0,Relatively New,Furnished,28,4.0
flat,sare crescent parc,sector 92,0.66,4977.0,Carpet area: 1326 (123.19 sq.m.),3,2,2,15.0,North,1473.0,0,0,0,0,0,Relatively New,Semi-Furnished,22,3.6
flat,ats triumph,sector 104,1.95,8515.0,Carpet area: 2290 (212.75 sq.m.),3,3,3+,3.0,East,2544.0,0,1,0,0,0,New Property,Unfurnished,45,4.7
flat,smart world gems,sector 89,0.9,8160.0,Super Built up area 1103(102.47 sq.m.),2,2,2,2.0,East,998.0,1,0,0,0,1,New Property,Unfurnished,33,4.0
flat,suncity avenue 76,sector 76,0.55,7422.0,Carpet area: 741 (68.84 sq.m.),2,2,2,9.0,North-East,823.0,0,0,0,0,0,Under Construction,Unfurnished,15,4.3
flat,raheja sampada,sector 92,0.7,4453.0,Built Up area: 1572 (146.04 sq.m.),3,3,0,7.0,East,1572.0,0,0,0,0,0,Relatively New,Unfurnished,0,4.0
flat,gls arawali homes,sohna road,0.3,5291.0,Built Up area: 567 (52.68 sq.m.),2,2,0,10.0,East,567.0,0,0,0,0,0,Relatively New,Unfurnished,0,4.2
flat,umang monsoon breeze,sector 78,1.05,5666.0,Built Up area: 1853 (172.15 sq.m.)Carpet area: 1390 sq.ft. (129.14 sq.m.),3,3,3,6.0,North,1853.0,0,0,0,0,0,Moderately Old,Unfurnished,0,4.25
flat,ambience creacions,sector 22,3.5,19444.0,Carpet area: 1800 (167.23 sq.m.),3,4,3+,8.0,East,2000.0,0,1,0,0,0,New Property,Furnished,23,4.5
flat,sare crescent parc,sector 92,0.95,5013.0,Built Up area: 1895 (176.05 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),4,5,3+,13.0,North,1895.0,0,0,0,0,0,Relatively New,Unfurnished,0,3.6
flat,godrej air,sector 85,2.6,12212.0,Built Up area: 2129 (197.79 sq.m.),3,3,3,17.0,East,2129.0,0,1,0,0,0,Relatively New,Unfurnished,25,4.88
flat,sare crescent parc royal greens phase 1,sector 92,0.75,4325.0,Built Up area: 1734 (161.09 sq.m.),4,4,3+,3.0,East,1734.0,0,0,0,0,0,Relatively New,Unfurnished,55,4.0
flat,railway officers rpf society,sector 9,1.3,5039.0,Built Up area: 2580 (239.69 sq.m.),4,4,3+,9.0,East,2580.0,0,0,0,0,0,Moderately Old,Unfurnished,0,4.0
