property_type,sector,price,bedRoom,bathroom,balcony,facing,built_up_area,servant room,age_category,furnishing_type,combined_rating,luxury_category,floor_category
flat,sohna road,1.3,3,3,3+,East,1509.0,0,Relatively New,Unfurnished,4.4,Low,Mid Floor
flat,sector 104,1.75,3,3,3,East,1529.0,0,Relatively New,Unfurnished,4.0,Low,Low Floor
flat,sector 3 phase 2,0.55,2,2,1,West,778.0,0,Relatively New,Furnished,3.88,Low,Mid Floor
flat,sector 65,2.5,3,3,3,East,1654.0,0,Relatively New,Unfurnished,4.25,Low,High Floor
flat,sector 2,0.8,3,2,3,North-East,1440.0,0,Moderately Old,Unfurnished,4.4,Low,Mid Floor
flat,sector 108,0.7,2,2,1,West,1468.0,0,Moderately Old,Unfurnished,3.8,Low,Mid Floor
flat,sector 37,1.95,4,3,3,North-East,1650.0,0,Relatively New,Unfurnished,4.4,Low,Mid Floor
flat,sector 90,0.45,2,2,1,East,696.0,0,New Property,Furnished,3.8,Low,Low Floor
flat,sector 79,1.7,3,2,3,East,1570.0,0,Relatively New,Unfurnished,3.75,Low,Mid Floor
flat,sector 86,0.5,2,2,1,East,578.0,0,Relatively New,Unfurnished,4.75,Low,Mid Floor
flat,sector 65,2.8,3,3,3,North-East,1654.0,0,Relatively New,Unfurnished,4.25,Medium,High Floor
flat,sector 33,1.45,3,2,3+,East,118.0,0,Under Construction,Unfurnished,4.1,Medium,High Floor
flat,sector 61,2.2,3,3,2,East,1811.0,0,Relatively New,Unfurnished,4.2,Low,Mid Floor
flat,sohna road,0.9,2,2,2,South,1105.0,0,Relatively New,Semi-Furnished,3.6,Medium,High Floor
flat,sector 95,0.4,2,2,2,East,571.0,0,New Property,Furnished,4.88,Low,Mid Floor
flat,sector 77,1.35,3,3,3+,North,1451.0,0,New Property,Furnished,4.6,Medium,Mid Floor
flat,sector 67,1.85,4,4,0,East,2556.0,0,Relatively New,Unfurnished,4.5,Low,Mid Floor
flat,sector 95,0.25,1,1,1,North,344.0,0,New Property,Unfurnished,4.25,Low,Mid Floor
flat,sector 89,0.88,2,2,3,East,1228.0,0,New Property,Unfurnished,4.0,Low,Low Floor
flat,sector 99,1.15,2,2,2,North-East,1235.0,0,New Property,Furnished,4.38,Medium,Low Floor
flat,sector 99,0.85,2,2,2,West,1133.0,0,New Property,Unfurnished,3.25,Low,Mid Floor
flat,sector 82,0.75,2,2,2,North,1000.0,0,Relatively New,Unfurnished,5.0,Low,Low Floor
flat,sector 2,3.35,4,4,3+,North,5000.0,0,New Property,Unfurnished,4.75,Low,Low Floor
flat,sector 88a,1.5,3,3,3+,North-East,1674.0,0,New Property,Unfurnished,4.7,Low,High Floor
flat,sector 91,1.65,4,4,3+,West,2139.0,1,Moderately Old,Unfurnished,4.0,Medium,High Floor
flat,sector 91,2.0,4,4,3+,East,2468.0,1,Moderately Old,Unfurnished,4.0,Low,High Floor
flat,sector 68,0.9,2,2,2,East,1311.0,0,New Property,Unfurnished,4.0,Low,Low Floor
flat,sector 70,1.25,3,3,3,North-East,1688.0,0,Under Construction,Unfurnished,3.62,Low,High Floor
flat,sector 37,1.0,3,3,3+,South-West,1708.0,0,Relatively New,Furnished,4.1,Low,Mid Floor
flat,dwarka expressway,1.08,3,3,0,East,1758.0,0,Under Construction,Unfurnished,4.0,Low,Low Floor
flat,sector 85,2.15,3,5,3,East,2179.0,0,New Property,Unfurnished,4.3,Low,Low Floor
flat,sector 67,1.0,1,1,1,South,826.0,0,Relatively New,Unfurnished,4.12,Low,High Floor
flat,sector 70,1.65,2,2,3,North-West,1142.0,0,New Property,Unfurnished,4.25,Medium,High Floor
flat,sector 90,1.79,4,3,3+,North-East,2461.0,0,Moderately Old,Unfurnished,4.5,Low,Mid Floor
flat,sector 85,1.8,3,3,3,East,141.0,0,Under Construction,Unfurnished,4.88,Low,High Floor
flat,gwal pahari,1.45,3,3,3,East,1430.0,0,Under Construction,Unfurnished,4.5,Low,Mid Floor
flat,sector 7,0.36,2,2,1,East,700.0,0,Relatively New,Unfurnished,4.0,Low,Low Floor
flat,sohna road,0.25,2,2,1,East,587.0,0,Relatively New,Unfurnished,4.3,Low,Low Floor
flat,sector 79,1.15,3,3,3+,East,1200.0,0,New Property,Unfurnished,3.75,Low,Low Floor
flat,sohna road road,1.65,3,3,0,North-East,1051.0,0,New Property,Unfurnished,4.25,Low,Low Floor
flat,sector 113,2.9,4,4,3+,North,2553.0,1,Relatively New,Unfurnished,4.3,Low,High Floor
flat,sector 92,0.6,2,2,3,South-West,1195.0,0,Under Construction,Unfurnished,3.0,Low,High Floor
flat,sector 47,2.4,3,3,0,West,2667.0,0,Moderately Old,Furnished,4.75,Low,Low Floor
flat,sector 70,1.25,2,2,3,North-East,1402.0,0,Relatively New,Unfurnished,4.25,Low,High Floor
flat,sector 65,2.15,2,2,3+,East,1433.0,0,Relatively New,Unfurnished,4.25,Low,High Floor
