property_type,sector,price_per_sqft,bedRoom,bathroom,balcony,servant room,age_category,furnishing_type,combined_rating,dist_cyber_city_km,luxury_category,floor_category,price
0.0,94.0,8081.0,4,3,4.0,0,0.0,2.0,4,17.784613471274927,2.0,2.0,1.79
0.0,88.0,13139.0,3,3,3.0,0,4.0,2.0,4,16.678635298845226,2.0,3.0,1.8
0.0,1.0,10140.0,3,3,3.0,0,4.0,2.0,4,9.007287461251584,1.0,2.0,1.45
0.0,72.0,5143.0,2,2,1.0,0,3.0,2.0,4,7.932372074404248,1.0,1.0,0.36
0.0,100.0,4259.0,2,2,1.0,0,3.0,2.0,4,10.315343042261606,1.0,1.0,0.25
0.0,81.0,7497.0,3,3,4.0,0,1.0,2.0,3,9.6830758001837,1.0,1.0,1.15
0.0,101.0,17442.0,3,3,0.0,0,1.0,2.0,4,12.095045917417066,1.0,1.0,1.65
0.0,17.0,12620.0,4,4,4.0,1,3.0,2.0,4,7.296451285525138,1.0,0.0,2.9
0.0,96.0,4545.0,2,2,3.0,0,4.0,2.0,3,19.438662025225774,1.0,0.0,0.6
0.0,48.0,10000.0,3,3,0.0,0,0.0,0.0,4,8.70926629658096,1.0,1.0,2.4
0.0,73.0,9905.0,2,2,3.0,0,3.0,2.0,4,12.87125291025613,1.0,0.0,1.25
0.0,67.0,15003.0,2,2,4.0,0,3.0,2.0,4,10.356984533706918,1.0,3.0,2.15
0.0,100.0,3970.0,2,2,1.0,0,3.0,2.0,3,10.315343042261606,1.0,2.0,0.295
0.0,100.0,5067.0,2,2,2.0,0,3.0,2.0,3,10.315343042261606,1.0,2.0,0.38
0.0,42.0,4105.0,2,2,1.0,0,3.0,2.0,4,7.966272839288784,1.0,1.0,0.39
0.0,99.0,6667.0,3,4,0.0,0,3.0,2.0,4,12.749467120010372,1.0,0.0,1.6
0.0,70.0,8504.0,4,4,3.0,0,1.0,2.0,4,12.476058817032778,1.0,1.0,1.7
0.0,56.0,14118.0,3,3,4.0,0,2.0,0.0,3,6.238294193827314,2.0,1.0,3.25
0.0,15.0,8451.0,2,2,3.0,0,1.0,2.0,4,6.211211068500834,1.0,2.0,0.6
0.0,98.0,2700.0,2,2,0.0,0,1.0,2.0,4,19.467363206073667,1.0,1.0,0.27
0.0,31.0,8887.0,2,1,1.0,0,2.0,2.0,3,2.3586610749369834,1.0,1.0,0.95
0.0,67.0,18493.0,2,2,3.0,0,1.0,2.0,4,10.356984533706918,1.0,2.0,2.65
0.0,81.0,7643.0,2,2,1.0,0,1.0,2.0,3,9.6830758001837,1.0,2.0,0.36
0.0,39.0,9167.0,2,2,3.0,0,1.0,2.0,4,11.022736662002515,1.0,2.0,0.55
0.0,92.0,16923.0,3,3,3.0,0,3.0,2.0,4,16.34701940513016,1.0,1.0,1.32
0.0,99.0,3976.0,2,2,3.0,0,3.0,2.0,3,12.749467120010372,2.0,1.0,0.59
0.0,42.0,4707.0,2,2,1.0,0,3.0,2.0,4,7.966272839288784,1.0,1.0,0.45
0.0,39.0,6224.0,3,3,2.0,0,3.0,1.0,3,11.022736662002515,1.0,0.0,0.9
0.0,81.0,10000.0,2,2,2.0,1,3.0,1.0,3,9.6830758001837,2.0,2.0,1.4
0.0,100.0,6543.0,2,2,4.0,0,1.0,0.0,4,10.315343042261606,1.0,2.0,0.95
0.0,67.0,17996.0,3,3,3.0,0,3.0,2.0,4,10.356984533706918,2.0,0.0,3.0
0.0,67.0,17990.0,3,3,2.0,1,3.0,2.0,4,10.356984533706918,1.0,3.0,3.67
0.0,85.0,7500.0,5,6,4.0,1,1.0,2.0,5,16.990726505283792,0.0,2.0,3.85
0.0,67.0,17998.0,3,3,3.0,0,1.0,2.0,4,10.356984533706918,1.0,3.0,3.29
0.0,67.0,18477.0,2,2,3.0,0,4.0,0.0,4,10.356984533706918,1.0,3.0,2.33
0.0,67.0,14170.0,3,3,3.0,0,1.0,2.0,4,10.356984533706918,1.0,3.0,2.79
0.0,44.0,11724.0,4,4,3.0,0,2.0,2.0,5,4.813339259086748,1.0,1.0,3.4
0.0,18.0,7273.0,2,2,1.0,0,3.0,0.0,4,21.802033071237695,1.0,1.0,0.72
0.0,7.0,7030.0,2,2,1.0,0,3.0,2.0,4,9.444756665310383,1.0,2.0,0.4
0.0,98.0,4106.0,2,2,2.0,0,3.0,0.0,4,19.467363206073667,2.0,2.0,0.56
0.0,74.0,6790.0,3,3,3.0,0,3.0,2.0,3,11.703579620081992,2.0,0.0,1.1
0.0,39.0,5420.0,2,2,3.0,0,1.0,2.0,3,11.022736662002515,1.0,2.0,0.71
0.0,81.0,6023.0,2,2,4.0,0,1.0,2.0,3,9.6830758001837,2.0,1.0,0.78
0.0,39.0,5882.0,2,2,3.0,0,4.0,2.0,4,11.022736662002515,2.0,2.0,0.4
0.0,17.0,11716.0,3,2,2.0,0,1.0,2.0,4,7.296451285525138,1.0,2.0,1.85
0.0,5.0,12182.0,2,2,1.0,0,3.0,2.0,4,11.688077620313686,2.0,2.0,1.1
0.0,64.0,12250.0,2,2,2.0,0,3.0,2.0,4,9.325542058746992,2.0,1.0,1.41
0.0,81.0,7455.0,3,3,3.0,0,3.0,2.0,3,9.6830758001837,1.0,2.0,1.45
0.0,64.0,13497.0,3,3,2.0,0,3.0,2.0,4,9.325542058746992,1.0,1.0,2.2
0.0,37.0,9910.0,2,2,3.0,0,0.0,0.0,4,8.807024823365314,1.0,2.0,1.1
0.0,5.0,9875.0,3,4,4.0,1,3.0,2.0,4,11.688077620313686,2.0,0.0,2.05
0.0,96.0,5000.0,3,2,3.0,0,0.0,0.0,4,19.438662025225774,1.0,2.0,0.6
0.0,92.0,4819.0,2,3,3.0,0,4.0,2.0,4,16.34701940513016,2.0,2.0,0.8
0.0,87.0,7033.0,2,2,2.0,0,1.0,0.0,4,15.606419725807001,1.0,2.0,0.41
0.0,76.0,5549.0,3,3,3.0,1,4.0,2.0,4,11.89113867504971,2.0,2.0,0.9
0.0,72.0,5889.0,2,2,1.0,0,3.0,2.0,4,7.932372074404248,1.0,2.0,0.54
0.0,38.0,7586.0,3,2,2.0,0,1.0,2.0,3,12.864118802682363,1.0,1.0,0.82
0.0,74.0,6734.0,3,3,4.0,0,3.0,0.0,3,11.703579620081992,1.0,2.0,1.0
0.0,58.0,9024.0,3,4,3.0,1,2.0,2.0,4,7.763932572686242,1.0,2.0,1.85
0.0,86.0,8000.0,3,3,2.0,0,3.0,0.0,4,15.577472593050006,2.0,1.0,1.42
0.0,39.0,9167.0,2,2,3.0,0,1.0,2.0,4,11.022736662002515,2.0,2.0,0.55
0.0,67.0,15980.0,2,2,3.0,0,4.0,2.0,4,10.356984533706918,1.0,2.0,2.29
0.0,5.0,10601.0,2,2,2.0,0,1.0,2.0,4,11.688077620313686,1.0,0.0,0.97
0.0,55.0,28004.0,3,4,3.0,1,1.0,1.0,4,5.956010036535056,1.0,2.0,8.25
0.0,33.0,4444.0,2,2,1.0,0,3.0,2.0,3,22.124747987328313,1.0,1.0,0.3
0.0,37.0,14335.0,2,2,3.0,0,4.0,2.0,4,8.807024823365314,1.0,1.0,1.65
0.0,67.0,15794.0,2,2,2.0,0,3.0,2.0,4,10.356984533706918,1.0,3.0,1.99
0.0,70.0,12500.0,2,2,3.0,0,3.0,2.0,4,12.476058817032778,1.0,0.0,1.0
0.0,65.0,26562.0,3,3,3.0,0,3.0,2.0,4,9.6830758001837,1.0,2.0,4.25
0.0,80.0,5000.0,4,4,3.0,1,3.0,2.0,4,17.849176868198043,1.0,1.0,1.25
0.0,86.0,6300.0,3,3,3.0,0,0.0,2.0,4,15.577472593050006,1.0,1.0,0.95
0.0,42.0,7778.0,3,2,2.0,0,1.0,0.0,5,7.966272839288784,1.0,1.0,1.05
0.0,75.0,14099.0,4,5,4.0,1,1.0,2.0,4,10.518733742236972,2.0,3.0,4.1
0.0,94.0,6983.0,2,2,2.0,0,3.0,2.0,4,17.784613471274927,1.0,1.0,0.5
0.0,2.0,5893.0,4,3,3.0,1,1.0,2.0,4,24.68171523417974,1.0,2.0,1.65
0.0,73.0,10159.0,3,3,3.0,1,1.0,2.0,4,12.87125291025613,2.0,1.0,1.6
0.0,64.0,13752.0,3,2,3.0,0,3.0,2.0,4,9.325542058746992,0.0,2.0,2.1
0.0,2.0,3648.0,4,4,3.0,0,0.0,2.0,4,24.68171523417974,1.0,2.0,0.9
0.0,81.0,7774.0,2,2,4.0,0,1.0,0.0,4,9.6830758001837,1.0,2.0,1.1
0.0,99.0,6740.0,2,2,4.0,0,3.0,2.0,4,12.749467120010372,2.0,0.0,0.92
0.0,96.0,5556.0,3,3,2.0,0,4.0,2.0,3,19.438662025225774,1.0,0.0,0.7
0.0,73.0,6326.0,3,4,2.0,0,3.0,2.0,3,12.87125291025613,1.0,0.0,0.99
0.0,81.0,6059.0,2,2,4.0,0,1.0,2.0,3,9.6830758001837,1.0,0.0,0.715
